uf,ano,medicos_mil_hab,leitos_mil_hab,dengue_cem_mil_hab,casos_hemorragica,obitos_hemorragica,taxa_obito_hemorragica
ES,1995,1.31,3.23,97.8,1.0,0.0,0.0
GO,1995,0.96,4.06,190.1,0.0,0.0,0.0
MA,1995,0.39,3.21,33.9,0.0,0.0,0.0
MG,1995,1.19,3.11,17.2,0.0,0.0,0.0
MS,1995,0.93,3.72,267.4,0.0,0.0,0.0
MT,1995,0.57,3.27,502.6,0.0,0.0,0.0
PA,1995,0.52,2.35,0.5,0.0,0.0,0.0
PB,1995,0.85,3.23,50.9,0.0,0.0,0.0
PE,1995,0.95,2.8,134.1,6.0,0.0,0.0
PI,1995,0.5,2.94,119.6,0.0,0.0,0.0
PR,1995,1.1,3.55,35.8,0.0,0.0,0.0
RJ,1995,2.87,4.49,265.0,105.0,2.0,0.02
RN,1995,0.85,3.08,200.6,0.0,0.0,0.0
RO,1995,0.39,2.95,0.0,0.0,0.0,0.0
RR,1995,0.27,2.97,0.0,0.0,0.0,0.0
RS,1995,1.61,3.69,0.0,0.0,0.0,0.0
SC,1995,0.95,3.44,0.0,0.0,0.0,0.0
SE,1995,0.78,2.72,0.0,0.0,0.0,0.0
SP,1995,1.71,3.83,17.9,0.0,0.0,0.0
TO,1995,0.71,2.91,317.1,0.0,0.0,0.0
AC,1996,0.36,2.78,0.0,0.0,0.0,0.0
AL,1996,0.92,2.81,98.6,0.0,0.0,0.0
AM,1996,0.53,1.68,0.0,0.0,0.0,0.0
AP,1996,0.35,2.09,0.0,0.0,0.0,0.0
BA,1996,0.75,2.09,513.8,0.0,0.0,0.0
CE,1996,0.7,2.56,30.8,0.0,0.0,0.0
DF,1996,2.39,2.88,4.7,0.0,0.0,0.0
ES,1996,1.35,3.14,203.9,0.0,0.0,0.0
GO,1996,0.95,3.95,139.9,0.0,0.0,0.0
MA,1996,0.4,3.13,120.9,0.0,0.0,0.0
MG,1996,1.23,3.04,31.5,0.0,0.0,0.0
MS,1996,0.95,3.64,174.5,0.0,0.0,0.0
MT,1996,0.6,3.19,269.1,0.0,0.0,0.0
PA,1996,0.53,2.31,5.8,0.0,0.0,0.0
PB,1996,0.88,3.17,365.1,0.0,0.0,0.0
PE,1996,0.99,2.77,307.1,6.0,1.0,0.17
PI,1996,0.53,2.9,216.1,0.0,0.0,0.0
PR,1996,1.1,3.48,57.8,0.0,0.0,0.0
RJ,1996,2.95,4.35,121.0,63.0,0.0,0.0
RN,1996,0.89,3.02,258.3,0.0,0.0,0.0
RO,1996,0.45,2.88,0.0,0.0,0.0,0.0
RR,1996,0.36,2.87,165.5,0.0,0.0,0.0
RS,1996,1.66,3.62,0.1,0.0,0.0,0.0
SC,1996,1.0,3.37,0.1,0.0,0.0,0.0
SE,1996,0.8,2.64,194.7,0.0,0.0,0.0
SP,1996,1.78,3.69,20.8,0.0,0.0,0.0
TO,1996,0.7,2.85,187.4,0.0,0.0,0.0
RO,1997,0.46,2.82,4.4,0.0,0.0,0.0
AC,1997,0.38,2.74,0.0,0.0,0.0,0.0
AM,1997,0.59,1.67,0.0,0.0,0.0,0.0
RR,1997,0.87,2.78,149.3,0.0,0.0,0.0
PA,1997,0.69,2.27,369.5,0.0,0.0,0.0
AP,1997,0.52,2.04,0.0,0.0,0.0,0.0
TO,1997,0.52,2.79,79.8,0.0,0.0,0.0
MA,1997,0.38,3.04,115.2,0.0,0.0,0.0
PI,1997,0.56,2.87,105.4,0.0,0.0,0.0
CE,1997,0.73,2.51,95.2,0.0,0.0,0.0
RN,1997,0.94,2.95,986.0,25.0,6.0,0.24
PB,1997,0.98,3.12,1581.8,0.0,0.0,0.0
PE,1997,1.16,2.74,437.0,13.0,0.0,0.0
AL,1997,1.0,2.73,287.9,0.0,0.0,0.0
SE,1997,0.95,2.56,675.1,0.0,0.0,0.0
BA,1997,0.72,2.1,357.6,0.0,0.0,0.0
MG,1997,1.31,2.98,31.7,1.0,1.0,1.0
ES,1997,1.41,3.05,453.3,0.0,0.0,0.0
RJ,1997,2.4,4.2,17.0,7.0,2.0,0.29
SP,1997,1.96,3.55,5.9,0.0,0.0,0.0
PR,1997,1.15,3.4,7.8,0.0,0.0,0.0
SC,1997,0.97,3.3,0.1,0.0,0.0,0.0
RS,1997,1.75,3.55,0.0,0.0,0.0,0.0
MS,1997,1.05,3.55,253.7,0.0,0.0,0.0
MT,1997,0.6,3.12,155.7,0.0,0.0,0.0
GO,1997,0.97,3.84,79.9,0.0,0.0,0.0
DF,1997,2.78,2.8,37.8,0.0,0.0,0.0
RO,1998,0.46,2.75,1.8,0.0,0.0,0.0
AC,1998,0.57,2.69,0.0,0.0,0.0,0.0
AM,1998,0.36,1.66,551.2,0.0,0.0,0.0
RR,1998,0.89,2.68,99.0,0.0,0.0,0.0
PA,1998,0.67,2.24,189.5,0.0,0.0,0.0
AP,1998,0.42,1.99,6.2,0.0,0.0,0.0
TO,1998,0.54,2.72,170.0,0.0,0.0,0.0
MA,1998,0.38,2.95,227.2,2.0,0.0,0.0
PI,1998,0.56,2.83,538.7,4.0,0.0,0.0
CE,1998,0.76,2.46,190.9,3.0,0.0,0.0
RN,1998,0.95,2.88,680.1,8.0,2.0,0.25
PB,1998,0.98,3.06,1747.7,0.0,0.0,0.0
PE,1998,1.16,2.71,699.6,46.0,0.0,0.0
AL,1998,1.04,2.66,337.7,0.0,0.0,0.0
SE,1998,0.77,2.48,1620.9,1.0,0.0,0.0
BA,1998,0.76,2.11,170.4,1.0,0.0,0.0
MG,1998,1.2,2.91,862.0,8.0,3.0,0.38
ES,1998,1.13,2.96,1354.4,7.0,2.0,0.29
RJ,1998,2.38,4.06,236.7,22.0,3.0,0.14
SP,1998,1.99,3.41,30.1,0.0,0.0,0.0
PR,1998,1.12,3.32,29.2,0.0,0.0,0.0
SC,1998,0.96,3.22,2.8,0.0,0.0,0.0
RS,1998,1.74,3.48,1.1,0.0,0.0,0.0
MS,1998,1.07,3.46,129.2,2.0,0.0,0.0
MT,1998,0.59,3.04,376.9,0.0,0.0,0.0
GO,1998,1.01,3.73,135.2,1.0,0.0,0.0
DF,1998,2.94,2.72,144.3,0.0,0.0,0.0
RO,1999,0.46,2.67,75.5,1.0,0.0,0.0
AC,1999,0.48,2.9,0.6,0.0,0.0,0.0
AM,1999,0.65,1.8,215.0,0.0,0.0,0.0
RR,1999,0.87,3.21,1490.4,0.0,0.0,0.0
PA,1999,0.67,2.11,44.4,1.0,0.0,0.0
AP,1999,0.65,1.91,1.1,0.0,0.0,0.0
TO,1999,0.54,3.02,175.5,0.0,0.0,0.0
MA,1999,0.38,3.44,86.6,2.0,0.0,0.0
PI,1999,0.62,2.75,82.4,0.0,0.0,0.0
CE,1999,0.77,2.57,229.2,0.0,0.0,0.0
RN,1999,0.96,2.63,737.1,2.0,0.0,0.0
PB,1999,0.98,3.5,400.2,0.0,0.0,0.0
PE,1999,1.16,2.96,463.0,44.0,1.0,0.02
AL,1999,1.02,2.65,43.0,0.0,0.0,0.0
SE,1999,0.92,2.3,688.9,4.0,0.0,0.0
BA,1999,0.76,2.3,60.7,0.0,0.0,0.0
MG,1999,1.31,2.89,94.3,0.0,0.0,0.0
ES,1999,1.43,2.63,21.6,0.0,0.0,0.0
RJ,1999,3.2,3.71,65.8,0.0,0.0,0.0
SP,1999,2.02,2.86,42.1,1.0,0.0,0.0
PR,1999,1.16,3.27,14.4,0.0,0.0,0.0
SC,1999,1.02,3.12,0.9,0.0,0.0,0.0
RS,1999,1.73,3.44,0.6,0.0,0.0,0.0
MS,1999,1.07,3.53,405.0,9.0,0.0,0.0
MT,1999,0.67,3.35,112.1,0.0,0.0,0.0
GO,1999,0.98,3.89,52.6,0.0,0.0,0.0
DF,1999,2.91,2.48,35.3,0.0,0.0,0.0
RO,2000,0.04,2.62,263.4,38.0,0.0,0.0
AC,2000,0.52,2.6,415.4,0.0,0.0,0.0
AM,2000,0.53,1.65,227.9,0.0,0.0,0.0
RR,2000,0.57,2.49,2248.8,0.0,0.0,0.0
PA,2000,0.51,2.16,132.7,3.0,0.0,0.0
AP,2000,0.4,1.88,10.5,0.0,0.0,0.0
TO,2000,0.81,2.6,252.6,0.0,0.0,0.0
MA,2000,0.42,2.78,76.8,1.0,0.0,0.0
PI,2000,0.57,2.76,258.0,1.0,0.0,0.0
CE,2000,0.72,2.36,281.3,0.0,0.0,0.0
RN,2000,0.89,2.75,616.6,36.0,0.0,0.0
PB,2000,0.92,2.95,662.2,0.0,0.0,0.0
PE,2000,1.06,2.65,353.0,45.0,0.0,0.0
AL,2000,0.94,2.51,52.0,2.0,0.0,0.0
SE,2000,0.83,2.32,486.2,1.0,0.0,0.0
BA,2000,0.84,2.12,83.4,4.0,0.0,0.0
MG,2000,1.35,2.78,147.3,4.0,2.0,0.5
ES,2000,1.33,2.78,629.0,18.0,0.0,0.0
RJ,2000,3.0,3.77,29.7,13.0,0.0,0.0
SP,2000,1.92,3.14,9.5,1.0,0.0,0.0
PR,2000,1.2,3.17,48.9,0.0,0.0,0.0
SC,2000,1.09,3.08,0.8,0.0,0.0,0.0
RS,2000,1.84,3.35,0.4,0.0,0.0,0.0
MS,2000,1.01,3.29,328.8,2.0,0.0,0.0
MT,2000,0.64,2.89,269.0,0.0,0.0,0.0
GO,2000,1.07,3.51,51.9,3.0,1.0,0.33
DF,2000,2.64,2.57,50.2,1.0,0.0,0.0
RO,2001,0.1,2.56,120.3,0.0,0.0,0.0
AC,2001,0.6,2.56,354.3,0.0,0.0,0.0
AM,2001,0.6,1.64,661.0,69.0,1.0,0.01
RR,2001,0.59,2.4,1137.4,0.0,0.0,0.0
PA,2001,0.51,2.13,264.0,18.0,1.0,0.06
AP,2001,0.42,1.83,641.4,0.0,0.0,0.0
TO,2001,0.72,2.54,417.3,8.0,1.0,0.12
MA,2001,0.45,2.7,109.6,4.0,0.0,0.0
PI,2001,0.6,2.73,359.0,10.0,0.0,0.0
CE,2001,0.75,2.31,452.1,90.0,9.0,0.1
RN,2001,0.9,2.68,1331.5,86.0,9.0,0.1
PB,2001,0.94,2.89,431.5,1.0,0.0,0.0
PE,2001,1.09,2.62,168.1,49.0,3.0,0.06
AL,2001,0.95,2.43,70.4,6.0,0.0,0.0
SE,2001,0.85,2.24,195.2,4.0,0.0,0.0
BA,2001,0.86,2.12,212.6,18.0,1.0,0.06
MG,2001,1.4,2.71,178.3,20.0,2.0,0.1
ES,2001,1.39,2.69,243.5,12.0,0.0,0.0
RJ,2001,2.96,3.62,431.5,340.0,8.0,0.02
SP,2001,1.97,3.0,137.3,9.0,1.0,0.11
PR,2001,1.24,3.09,16.4,1.0,1.0,1.0
SC,2001,1.13,3.01,0.8,0.0,0.0,0.0
RS,2001,1.82,3.28,0.6,1.0,0.0,0.0
MS,2001,1.03,3.2,447.2,5.0,0.0,0.0
MT,2001,0.69,2.82,101.4,3.0,2.0,0.67
GO,2001,1.1,3.4,210.5,39.0,2.0,0.05
DF,2001,2.73,2.49,75.4,0.0,0.0,0.0
RO,2002,0.15,2.35,109.4,6.0,0.0,0.0
AC,2002,0.62,2.7,152.0,0.0,0.0,0.0
AM,2002,0.65,1.59,75.8,0.0,0.0,0.0
RR,2002,0.45,2.25,351.1,0.0,0.0,0.0
PA,2002,0.53,2.09,178.4,12.0,4.0,0.33
AP,2002,0.4,1.66,166.1,0.0,0.0,0.0
TO,2002,0.89,2.37,163.9,3.0,1.0,0.33
MA,2002,0.46,2.54,146.3,20.0,2.0,0.1
PI,2002,0.64,2.72,305.1,5.0,0.0,0.0
CE,2002,0.77,2.24,257.1,86.0,8.0,0.09
RN,2002,0.94,2.62,765.0,108.0,5.0,0.05
PB,2002,0.96,3.27,536.5,16.0,1.0,0.06
PE,2002,1.13,2.78,1235.7,343.0,20.0,0.06
AL,2002,0.97,2.38,259.0,13.0,0.0,0.0
SE,2002,0.89,2.21,286.7,1.0,0.0,0.0
BA,2002,0.87,2.26,582.4,82.0,8.0,0.1
MG,2002,1.46,2.69,210.1,97.0,3.0,0.03
ES,2002,1.45,2.39,796.1,81.0,8.0,0.1
RJ,2002,2.93,3.4,1691.9,1577.0,49.0,0.03
SP,2002,2.04,2.57,110.4,21.0,4.0,0.19
PR,2002,1.3,3.09,73.8,8.0,2.0,0.25
SC,2002,1.18,2.87,5.3,0.0,0.0,0.0
RS,2002,1.8,3.19,4.2,3.0,0.0,0.0
MS,2002,1.08,3.24,568.8,41.0,0.0,0.0
MT,2002,0.73,2.99,356.9,16.0,1.0,0.06
GO,2002,1.13,3.33,421.6,64.0,3.0,0.05
DF,2002,2.79,2.23,147.5,4.0,2.0,0.5
RO,2003,0.22,2.43,206.7,9.0,1.0,0.11
AC,2003,0.72,2.47,161.5,0.0,0.0,0.0
AM,2003,0.71,1.62,132.3,50.0,0.0,0.0
RR,2003,0.55,2.21,1390.2,2.0,2.0,1.0
PA,2003,0.57,2.05,148.7,8.0,3.0,0.38
AP,2003,0.49,1.73,755.2,4.0,1.0,0.25
TO,2003,0.76,2.41,153.1,8.0,1.0,0.12
MA,2003,0.49,2.52,99.8,37.0,4.0,0.11
PI,2003,0.67,2.66,325.1,17.0,2.0,0.12
CE,2003,0.78,2.21,429.6,303.0,17.0,0.06
RN,2003,1.0,2.55,719.5,102.0,2.0,0.02
PB,2003,1.01,2.78,362.1,0.0,0.0,0.0
PE,2003,1.17,2.56,186.1,25.0,4.0,0.16
AL,2003,1.0,2.28,209.2,25.0,2.0,0.08
SE,2003,0.93,2.08,255.1,0.0,0.0,0.0
BA,2003,0.92,2.14,315.3,58.0,0.0,0.0
MG,2003,1.51,2.58,77.3,81.0,3.0,0.04
ES,2003,1.52,2.51,900.1,47.0,2.0,0.04
RJ,2003,2.9,3.33,37.1,26.0,0.0,0.0
SP,2003,2.13,2.72,52.6,18.0,0.0,0.0
PR,2003,1.38,2.94,111.4,5.0,2.0,0.4
SC,2003,1.25,2.87,1.1,0.0,0.0,0.0
RS,2003,1.85,3.14,0.5,0.0,0.0,0.0
MS,2003,1.15,3.03,97.2,1.0,0.0,0.0
MT,2003,0.81,2.67,357.1,28.0,0.0,0.0
GO,2003,1.18,3.18,161.5,48.0,5.0,0.1
DF,2003,2.96,2.33,40.6,3.0,1.0,0.33
RO,2004,0.69,2.36,228.9,1.0,0.0,0.0
AC,2004,0.71,2.42,761.8,9.0,0.0,0.0
AM,2004,0.88,1.61,29.6,4.0,0.0,0.0
RR,2004,1.24,2.12,158.0,1.0,0.0,0.0
PA,2004,0.71,2.02,86.3,5.0,1.0,0.2
AP,2004,0.75,1.68,474.8,5.0,0.0,0.0
TO,2004,0.81,2.35,122.8,2.0,0.0,0.0
MA,2004,0.53,2.44,27.4,10.0,2.0,0.2
PI,2004,0.72,2.62,29.6,1.0,0.0,0.0
CE,2004,0.89,2.16,50.8,18.0,2.0,0.11
RN,2004,1.13,2.48,91.7,10.0,0.0,0.0
PB,2004,1.1,2.72,38.5,1.0,0.0,0.0
PE,2004,1.25,2.53,28.3,15.0,0.0,0.0
AL,2004,1.1,2.21,152.5,12.0,1.0,0.08
SE,2004,1.07,2.0,22.9,0.0,0.0,0.0
BA,2004,0.91,2.14,34.4,11.0,0.0,0.0
MG,2004,1.56,2.51,73.2,24.0,2.0,0.08
ES,2004,1.66,2.42,105.7,1.0,0.0,0.0
RJ,2004,3.25,3.18,8.2,5.0,0.0,0.0
SP,2004,2.14,2.59,7.8,0.0,0.0,0.0
PR,2004,1.45,2.86,1.6,0.0,0.0,0.0
SC,2004,1.39,2.8,0.3,0.0,0.0,0.0
RS,2004,1.93,3.07,0.2,1.0,0.0,0.0
MS,2004,1.24,2.94,14.6,0.0,0.0,0.0
MT,2004,1.0,2.6,88.9,1.0,0.0,0.0
GO,2004,1.29,3.07,108.1,21.0,0.0,0.0
DF,2004,3.22,2.26,11.7,0.0,0.0,0.0
RO,2005,0.8,2.01,388.1,6.0,1.0,0.17
AC,2005,0.81,2.37,340.4,0.0,0.0,0.0
AM,2005,0.92,1.56,31.6,4.0,0.0,0.0
RR,2005,1.06,1.53,602.8,4.0,0.0,0.0
PA,2005,0.74,1.92,118.4,21.0,4.0,0.19
AP,2005,0.82,1.25,430.4,2.0,0.0,0.0
TO,2005,0.97,2.12,257.1,4.0,0.0,0.0
MA,2005,0.56,2.27,108.3,41.0,1.0,0.02
PI,2005,0.78,2.47,150.7,13.0,0.0,0.0
CE,2005,0.9,2.14,335.9,183.0,18.0,0.1
RN,2005,1.18,2.39,160.1,20.0,0.0,0.0
PB,2005,1.14,2.51,166.3,6.0,0.0,0.0
PE,2005,1.3,2.53,66.3,22.0,0.0,0.0
AL,2005,1.14,1.97,88.4,18.0,1.0,0.06
SE,2005,1.13,1.81,33.8,1.0,0.0,0.0
BA,2005,0.97,2.19,129.5,25.0,3.0,0.12
MG,2005,1.63,2.41,58.5,18.0,1.0,0.06
ES,2005,1.74,2.24,80.7,7.0,0.0,0.0
RJ,2005,3.35,2.93,8.9,10.0,0.0,0.0
SP,2005,2.23,2.29,14.3,7.0,0.0,0.0
PR,2005,1.53,2.76,10.3,0.0,0.0,0.0
SC,2005,1.53,2.66,0.8,1.0,0.0,0.0
RS,2005,2.02,2.82,0.4,0.0,0.0,0.0
MS,2005,1.34,2.74,28.2,2.0,0.0,0.0
MT,2005,1.07,2.39,245.1,23.0,3.0,0.13
GO,2005,1.39,2.9,335.3,76.0,5.0,0.07
DF,2005,3.42,2.13,16.8,0.0,0.0,0.0
RO,2006,0.79,2.23,272.7,5.0,1.0,0.2
AC,2006,0.81,2.33,39.0,2.0,1.0,0.5
AM,2006,0.93,1.59,19.3,7.0,1.0,0.14
RR,2006,1.05,1.93,252.1,3.0,1.0,0.33
PA,2006,0.76,1.94,92.5,12.0,2.0,0.17
AP,2006,0.84,1.57,300.3,8.0,2.0,0.25
TO,2006,1.05,2.23,446.1,6.0,0.0,0.0
MA,2006,0.58,2.27,83.8,156.0,5.0,0.03
PI,2006,0.81,2.55,158.5,39.0,5.0,0.13
CE,2006,0.93,2.06,346.5,172.0,16.0,0.09
RN,2006,1.2,2.35,275.6,92.0,5.0,0.05
PB,2006,1.14,2.61,85.2,12.0,0.0,0.0
PE,2006,1.31,2.47,103.4,33.0,1.0,0.03
AL,2006,1.14,2.06,103.8,27.0,3.0,0.11
SE,2006,1.18,1.84,57.4,1.0,0.0,0.0
BA,2006,1.0,2.16,49.0,14.0,2.0,0.14
MG,2006,1.67,2.38,154.4,24.0,7.0,0.29
ES,2006,1.77,2.24,292.0,20.0,3.0,0.15
RJ,2006,3.35,2.89,171.0,81.0,5.0,0.06
SP,2006,2.26,2.31,130.8,40.0,6.0,0.15
PR,2006,1.62,2.71,12.0,0.0,0.0,0.0
SC,2006,1.62,2.65,1.0,0.0,0.0,0.0
RS,2006,2.04,2.93,0.6,1.0,0.0,0.0
MS,2006,1.41,2.77,538.6,16.0,3.0,0.19
MT,2006,1.08,2.45,348.8,13.0,3.0,0.23
GO,2006,1.41,2.85,424.4,87.0,6.0,0.07
DF,2006,3.47,2.1,22.1,0.0,0.0,0.0
RO,2007,0.81,2.16,287.7,3.0,0.0,0.0
AC,2007,0.8,2.29,76.1,0.0,0.0,0.0
AM,2007,0.95,1.59,68.2,129.0,2.0,0.02
RR,2007,1.15,1.83,209.7,3.0,0.0,0.0
PA,2007,0.77,1.91,201.1,136.0,19.0,0.14
AP,2007,0.82,1.52,562.0,11.0,2.0,0.18
TO,2007,1.06,2.17,957.0,8.0,3.0,0.38
MA,2007,0.59,2.18,214.1,194.0,13.0,0.07
PI,2007,0.84,2.52,321.8,93.0,9.0,0.1
CE,2007,0.95,2.01,412.4,323.0,9.0,0.03
RN,2007,1.21,2.28,437.4,81.0,5.0,0.06
PB,2007,1.17,2.56,292.7,96.0,0.0,0.0
PE,2007,1.33,2.44,262.8,117.0,8.0,0.07
AL,2007,1.16,1.98,345.4,94.0,6.0,0.06
SE,2007,1.2,1.76,60.7,7.0,0.0,0.0
BA,2007,1.02,2.16,67.7,25.0,1.0,0.04
MG,2007,1.71,2.31,143.9,11.0,3.0,0.27
ES,2007,1.81,2.15,194.8,3.0,0.0,0.0
RJ,2007,3.37,2.75,367.7,247.0,23.0,0.09
